structure,zprime,energy,uncertainty,raw_energy,PBE_energy,diff,rel_energy,rel_PBE_energy,rel_diff
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1476.res,2,-5165.88483,0.52986213,-107.0812741,-5163.828889,2.055940948,-3.594223178,-0.462002528,3.13222065
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1532.res,2,-5161.966053,0.776800757,-107.0000436,-5162.811615,-0.845561274,0.324553069,0.555271497,0.230718428
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1807.res,2,-5166.059864,0.404800233,-107.0849023,-5164.977897,1.081966967,-3.769257989,-1.61101132,2.158246669
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1814.res,2,-5167.34987,0.281299376,-107.1116423,-5166.203624,1.146245839,-5.059263534,-2.836737992,2.222525541
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1834.res,2,-5167.222888,0.766482655,-107.1090101,-5165.223915,1.998973612,-4.932281906,-1.857028592,3.075253314
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1972.res,2,-5165.118581,0.640053268,-107.0653909,-5165.76437,-0.645789422,-2.827974086,-2.397483806,0.43049028
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-1978.res,2,-5164.930495,0.587363215,-107.0614921,-5165.885269,-0.954774435,-2.63988854,-2.518383273,0.121505267
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2072.res,2,-5165.669327,0.41263584,-107.076807,-5165.759973,-0.090646374,-3.378720298,-2.39308697,0.985633328
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2146.res,2,-5165.652872,1.669356524,-107.076466,-5164.187693,1.465178837,-3.362265322,-0.820806782,2.541458539
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2227.res,2,-5159.153534,0.39491989,-106.9417441,-5159.244843,-0.091309127,3.13707232,4.122042895,0.984970575
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2245.res,2,-5159.072012,0.577218278,-106.9400543,-5159.527253,-0.455240998,3.21859459,3.839633294,0.621038704
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2363.res,2,-5163.285576,0.519394521,-107.0273954,-5163.230294,0.055281361,-0.994969225,0.136591838,1.131561063
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2400.res,2,-5164.289654,0.829992375,-107.0482084,-5163.596595,0.69305916,-1.999047223,-0.229708361,1.769338863
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2412.res,2,-5165.127383,0.569126628,-107.0655733,-5164.121889,1.005494026,-2.836776084,-0.755002355,2.081773729
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2437.res,2,-5164.030298,0.648132757,-107.0428324,-5162.904172,1.126126236,-1.739691831,0.462714107,2.202405938
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2498.res,2,-5165.106684,0.390878856,-107.0651443,-5166.211177,-1.104493051,-2.816077513,-2.844290862,-0.028213349
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2510.res,2,-5160.930079,0.720965512,-106.9785693,-5160.284558,0.645520516,1.360527617,3.082327835,1.721800218
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2533.res,2,-5164.652717,0.767849515,-107.0557342,-5163.946938,0.705778813,-2.362110817,-0.580052301,1.782058516
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2565.res,2,-5165.059977,0.743974149,-107.0641761,-5164.441144,0.618832695,-2.769370645,-1.074258248,1.695112397
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2816.res,2,-5163.183135,1.09622023,-107.0252719,-5164.442714,-1.259579086,-0.892528198,-1.075827581,-0.183299383
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2872.res,2,-5156.451249,0.767419709,-106.8857297,-5159.452256,-3.00100677,5.839357427,3.914630359,-1.924727068
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2960.res,2,-5164.233106,1.317863432,-107.0470363,-5164.618728,-0.385622019,-1.942499069,-1.251841386,0.690657683
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3021.res,2,-5164.647314,2.551639099,-107.0556222,-5162.339966,2.307348239,-2.356707797,1.026920144,3.383627941
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3050.res,2,-5165.73675,0.468851997,-107.0782046,-5163.114975,2.621774964,-3.446143588,0.251911077,3.698054666
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3178.res,2,-5165.203305,2.061117196,-107.0671471,-5163.65163,1.551674567,-2.912698331,-0.284744062,2.627954269
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3239.res,2,-5164.597587,1.236892431,-107.0545914,-5163.176416,1.421170777,-2.306980764,0.190469716,2.49745048
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3240.res,2,-5165.391446,1.123894916,-107.071047,-5164.036826,1.354620324,-3.100839969,-0.669939943,2.430900026
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3280.res,2,-5164.296426,0.608386708,-107.0483488,-5163.389409,0.9070171,-2.00581985,-0.022523048,1.983296802
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3374.res,2,-5163.063181,0.933243769,-107.0227854,-5165.241284,-2.17810351,-0.772574069,-1.874397877,-1.101823808
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3376.res,2,-5163.522767,0.948950728,-107.032312,-5165.974944,-2.45217729,-1.232160095,-2.608057683,-1.375897588
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3488.res,2,-5162.446433,0.59913832,-107.0100012,-5164.787433,-2.340999294,-0.155826837,-1.420546428,-1.264719592
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3498.res,2,-5163.325676,0.597780238,-107.0282266,-5165.687262,-2.361585834,-1.03506951,-2.320375642,-1.285306132
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3516.res,2,-5163.651277,0.427761272,-107.0349758,-5164.426574,-0.775297548,-1.360670155,-1.059688001,0.300982154
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3546.res,2,-5159.690504,0.443628877,-106.9528748,-5163.290069,-3.599564419,2.600101977,0.07681726,-2.523284717
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3591.res,2,-5157.741334,0.726630714,-106.9124713,-5160.514229,-2.772894952,4.549272353,2.852657103,-1.69661525
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3605.res,2,-5156.926756,1.536918968,-106.8955863,-5161.620552,-4.693795336,5.36385001,1.746334376,-3.617515634
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3625.res,2,-5160.642411,0.669831453,-106.9726064,-5164.09209,-3.449679841,1.648195824,-0.725204315,-2.373400139
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3654.res,2,-5157.949655,0.78977617,-106.9167895,-5161.72609,-3.776435529,4.340951679,1.640795852,-2.700155827
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3886.res,2,-5160.050167,0.928555039,-106.96033,-5160.997509,-0.947342358,2.240439809,2.369377153,0.128937344
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3940.res,2,-5163.684367,0.608198619,-107.0356617,-5164.706139,-1.021771919,-1.393760516,-1.339252732,0.054507783
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3954.res,2,-5157.672208,1.453545688,-106.9110384,-5160.856367,-3.184159038,4.618398573,2.510519238,-2.107879335
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4004.res,2,-5158.278556,0.817307937,-106.9236071,-5160.362301,-2.08374533,4.012050426,3.004584798,-1.007465628
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4016.res,2,-5159.217457,0.696920929,-106.9430692,-5161.202479,-1.985022267,3.073149707,2.164407143,-0.908742564
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4143.res,2,-5157.202734,0.82110117,-106.9013069,-5160.431038,-3.228303418,5.087872381,2.935848665,-2.152023716
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4151.res,2,-5156.34143,0.803717561,-106.8834533,-5159.812831,-3.471401248,5.949176662,3.554055116,-2.395121546
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4176.res,2,-5161.302128,0.588825693,-106.9862814,-5164.443707,-3.141578784,0.988478184,-1.076820897,-2.065299082
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4198.res,2,-5159.003345,0.586493883,-106.9386309,-5162.552144,-3.548798936,3.287261432,0.814742198,-2.472519234
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4290.res,2,-5159.527518,1.142331837,-106.9494963,-5157.481197,2.046320872,2.763088573,5.885689147,3.122600574
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4317.res,2,-5162.288874,0.782584884,-107.0067352,-5163.416467,-1.127592833,0.001732708,-0.049580423,-0.051313131
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4331.res,2,-5165.010984,49.24734029,-107.0631606,-5166.413206,-1.402222302,-2.7203774,-3.04632,-0.3259426
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4386.res,2,-5158.847051,0.702528061,-106.9353912,-5163.1048,-4.257748458,3.443555174,0.262086418,-3.181468756
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4399.res,2,-5157.69531,0.692929323,-106.9115173,-5162.4925,-4.79718995,4.595296768,0.874386521,-3.720910247
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4432.res,2,-5158.910953,0.449123009,-106.9367158,-5159.270095,-0.359142341,3.379653881,4.096791243,0.717137361
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4480.res,2,-5162.332574,0.768373196,-107.007641,-5166.063684,-3.731109549,-0.041967785,-2.696797632,-2.654829847
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4527.res,2,-5160.535254,1.354922803,-106.9703852,-5161.744766,-1.209511565,1.755352018,1.622120156,-0.133231863
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4544.res,2,-5160.662908,4.885454775,-106.9730313,-5161.792506,-1.129598159,1.627698647,1.57438019,-0.053318457
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4570.res,2,-5165.202696,79.63327781,-107.0671345,-5166.022246,-0.819549606,-2.9120897,-2.655359605,0.256730096
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4643.res,2,-5162.613741,0.877864092,-107.0134692,-5162.284981,0.328760829,-0.323134858,1.081905673,1.405040531
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4690.res,2,-5160.282598,0.560284222,-106.965148,-5158.717779,1.56481863,2.008008581,4.649106913,2.641098332
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4722.res,2,-5157.117886,0.899383806,-106.8995481,-5155.934688,1.183197569,5.172720838,7.432198109,2.259477271
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4733.res,2,-5157.117302,0.777699508,-106.899536,-5156.940694,0.176608422,5.173303997,6.426192121,1.252888124
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4753.res,2,-5158.729265,0.734939819,-106.9329497,-5158.953627,-0.224361047,3.561341019,4.413259674,0.851918655
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4760.res,2,-5161.130449,0.503012394,-106.9827227,-5160.726782,0.40366652,1.160157608,2.64010383,1.479946222
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4802.res,2,-5163.583022,0.50253951,-107.033561,-5165.264318,-1.6812958,-1.292415234,-1.897431332,-0.605016098
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4814.res,2,-5160.121662,0.654590792,-106.961812,-5163.917966,-3.796303704,2.168944309,-0.551079693,-2.720024002
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4870.res,2,-5157.70249,0.412820936,-106.9116661,-5160.212008,-2.509517921,4.588116251,3.154878032,-1.433238219
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4871.res,2,-5158.090119,0.433088469,-106.9197011,-5161.898771,-3.808651166,4.200487079,1.468115615,-2.732371464
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4887.res,2,-5155.142526,0.959449852,-106.8586018,-5160.053054,-4.910527494,7.148080061,3.313832269,-3.834247792
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4996.res,2,-5161.043786,0.748559256,-106.9809263,-5163.926701,-2.882914804,1.246820112,-0.55981499,-1.806635102
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5075.res,2,-5159.170847,1.316353946,-106.942103,-5160.922029,-1.751181959,3.119759384,2.444857127,-0.674902257
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5227.res,2,-5164.272633,1.399684365,-107.0478556,-5163.377364,0.895269103,-1.982026145,-0.01047734,1.971548805
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5254.res,2,-5165.0559,1.769996944,-107.0640916,-5164.579671,0.476229066,-2.765293866,-1.212785098,1.552508768
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5293.res,2,-5157.447803,0.963889892,-106.9063868,-5160.700548,-3.252744626,4.842803592,2.666338668,-2.176464924
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5338.res,2,-5162.416706,1.002471307,-107.009385,-5165.419862,-3.003155776,-0.126099705,-2.052975779,-1.926876074
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5536.res,2,-5160.151506,0.440870595,-106.9624307,-5159.59437,0.55713662,2.139100345,3.772516667,1.633416322
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5572.res,2,-5160.222625,0.557193784,-106.9639048,-5158.729504,1.493120913,2.067981885,4.6373825,2.569400615
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5585.res,2,-5159.804096,1.205804255,-106.9552293,-5162.072995,-2.268898439,2.486510349,1.293891612,-1.192618737
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5586.res,2,-5159.628245,1.23484878,-106.9515842,-5161.962985,-2.334740063,2.662361144,1.403900783,-1.258460361
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5683.res,2,-5157.464911,0.750598618,-106.9067414,-5160.11751,-2.652599789,4.825695829,3.249375742,-1.576320087
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5717.res,2,-5156.764783,0.431285453,-106.8922288,-5158.268796,-1.504013214,5.525823224,5.098089713,-0.427733511
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5722.res,2,-5158.346894,0.411719382,-106.9250237,-5158.628434,-0.28153964,3.943712245,4.738452307,0.794740062
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5750.res,2,-5158.305885,1.703359499,-106.9241736,-5157.21174,1.094144582,3.984721793,6.155146077,2.170424284
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5793.res,2,-5159.964258,0.92421042,-106.9585493,-5161.858943,-1.89468453,2.32634813,1.507943302,-0.818404828
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5802.res,2,-5163.644415,1.328728567,-107.0348336,-5162.249476,1.394939635,-1.353809001,1.117410337,2.471219338
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5812.res,2,-5162.66317,1.355691374,-107.0144938,-5160.737273,1.925896602,-0.372563322,2.629612983,3.002176304
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5816.res,2,-5159.395406,1.400778476,-106.9467578,-5156.973984,2.421421659,2.895200917,6.392902278,3.497701361
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5862.res,2,-5160.166296,1.219236984,-106.9627372,-5158.389771,1.776524895,2.124310872,4.977115469,2.852804597
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5899.res,2,-5162.712968,0.780705434,-107.015526,-5161.319326,1.393642299,-0.42236146,2.047560541,2.469922001
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5938.res,2,-5162.178165,0.51869174,-107.0044403,-5163.211228,-1.033063781,0.112441896,0.155657817,0.043215921
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5944.res,2,-5161.862235,0.300312337,-106.9978916,-5162.557956,-0.69572078,0.428371001,0.808929924,0.380558922
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6048.res,2,-5160.977528,1.005624152,-106.9795529,-5164.179983,-3.202454434,1.31307809,-0.813096642,-2.126174732
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6064.res,2,-5161.512373,0.977558067,-106.9906394,-5163.453125,-1.940751789,0.778233519,-0.086238568,-0.864472087
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6066.res,2,-5161.536623,0.984030941,-106.9911421,-5163.383518,-1.846894493,0.753983136,-0.016631655,-0.77061479
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6073.res,2,-5162.104737,0.973488656,-107.0029183,-5164.114478,-2.00974071,0.185869206,-0.747591801,-0.933461008
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6075.res,2,-5160.962249,0.764026049,-106.9792362,-5162.521583,-1.559333513,1.328357248,0.845303437,-0.483053811
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6103.res,2,-5161.046221,0.999520409,-106.9809768,-5163.82541,-2.779189422,1.24438597,-0.45852375,-1.702909719
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6122.res,2,-5158.553601,0.796081004,-106.9293084,-5160.034596,-1.480995757,3.737005964,3.332289909,-0.404716055
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6133.res,2,-5156.044551,1.567483662,-106.8772994,-5155.412215,0.632335388,6.246055783,7.954670873,1.708615091
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6170.res,2,-5162.362009,105.3202563,-107.0082512,-5159.988377,2.373632079,-0.071402516,3.378509265,3.449911781
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6186.res,2,-5156.973516,1.04165112,-106.8965555,-5156.476286,0.497229722,5.317090603,6.890600027,1.573509424
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6211.res,2,-5157.599847,0.986781053,-106.9095385,-5157.302942,0.296905289,4.690759314,6.063944305,1.373184991
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6272.res,2,-5156.831897,1.372075346,-106.89362,-5159.016234,-2.184336404,5.45870899,4.350652288,-1.108056702
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6286.res,2,-5157.050767,0.980086408,-106.8981569,-5159.343591,-2.292823265,5.239839052,4.023295489,-1.216543563
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6287.res,2,-5157.262698,0.988713183,-106.9025499,-5159.401499,-2.138800467,5.027908185,3.96538742,-1.062520765
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6324.res,2,-5163.165271,1.548703536,-107.0249016,-5161.99844,1.166830694,-0.874664104,1.368446292,2.243110396
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6359.res,2,-5158.917097,2.033936044,-106.9368431,-5156.982892,1.934204367,3.37350972,6.383993789,3.010484069
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6375.res,2,-5160.897528,1.60978457,-106.9778946,-5162.009301,-1.111773149,1.39307887,1.357585423,-0.035493447
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6402.res,2,-5160.764567,55.41069006,-106.9751385,-5164.129949,-3.365382807,1.526039884,-0.76306322,-2.289103105
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6444.res,2,-5159.644974,1.241555506,-106.951931,-5163.833365,-4.18839119,2.645632525,-0.466478963,-3.112111488
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6481.res,2,-5160.826138,7.160748451,-106.9764148,-5162.025952,-1.199813687,1.464467974,1.340933989,-0.123533985
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6519.res,2,-5157.856147,0.685505185,-106.9148512,-5160.55806,-2.701913508,4.434459564,2.808825758,-1.625633806
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6529.res,2,-5158.267466,0.514881596,-106.9233772,-5160.743839,-2.476373165,4.02314062,2.623047158,-1.400093463
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6548.res,2,-5156.740152,1.261789699,-106.8917182,-5161.369477,-4.62932481,5.550454516,1.997409408,-3.553045108
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6551.res,2,-5156.203538,1.137333095,-106.880595,-5160.791728,-4.588189616,6.087068036,2.575158122,-3.511909914
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6586.res,2,-5160.755506,1.52494067,-106.9749507,-5165.079298,-4.323791735,1.535100444,-1.712411589,-3.247512033
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6680.res,2,-5162.514739,1.01879823,-107.011417,-5163.03708,-0.522340722,-0.22413242,0.329806561,0.553938981
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6743.res,2,-5159.439715,0.638021799,-106.9476763,-5160.281466,-0.841750885,2.850891371,3.085420189,0.234528818
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6763.res,2,-5157.848289,1.131431229,-106.9146883,-5162.469577,-4.621287894,4.442317692,0.8973095,-3.545008192
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6818.res,2,-5158.375175,0.737231329,-106.9256099,-5159.431977,-1.05680236,3.915431817,3.934909159,0.019477342
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6886.res,2,-5160.160211,0.399050963,-106.9626111,-5158.997153,1.16305755,2.13039597,4.369733222,2.239337253
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6903.res,2,-5161.150902,0.650809735,-106.9831467,-5158.882637,2.268264126,1.139704911,4.484248739,3.344543828
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6921.res,2,-5161.990328,0.808683548,-107.0005468,-5159.845621,2.14470683,0.300278535,3.521265067,3.220986532
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6965.res,2,-5164.346156,1.11324138,-107.0493796,-5162.449409,1.896746505,-2.055549348,0.917476859,2.973026207
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6982.res,2,-5162.834055,0.843185875,-107.018036,-5162.596189,0.237866435,-0.543448517,0.77069762,1.314146137
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7027.res,2,-5160.6238,0.717905937,-106.9722206,-5159.116612,1.507188187,1.666806392,4.250274281,2.583467889
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7110.res,2,-5160.635266,1.687446273,-106.9724583,-5157.077107,3.558159,1.655340079,6.289778781,4.634438702
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-7148.res,2,-5157.803282,0.773202077,-106.9137554,-5153.626279,4.177002897,4.487324562,9.740607161,5.253282599
